linearization_wx	id	sentence_wx	sentence	linearization
(jA_1:TAM(yA_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k7p(Sahara_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k2p(vixyAlaya_1:attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	49	mEM Sahara meM eka vixyAlaya gayA.	मैं शहर में एक विद्यालय गया.	(जा_1:TAM(या_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k7p(शहर_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k2p(विद्यालय_1:attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(jA_1:TAM(yA_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k7p(Sahara_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k2p(vixyAlaya_1:attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	50	mEM Sahara meM vixyAlaya meM gayA.	मैं शहर में विद्यालय में गया.	(जा_1:TAM(या_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k7p(शहर_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k2p(विद्यालय_1:attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(jA_1:TAM(yA_1):k1(ladakA_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):rt(vaha:attr_gen(m):attr_num(sg):attr_per(a)):k2p(Sahara_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))	51	ladakA usake lie Sahara gayA.	लडका उसके लिए शहर गया.	(जा_1:TAM(या_1):k1(लडका_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):rt(वह:attr_gen(m):attr_num(sg):attr_per(a)):k2p(शहर_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))
( avalokana+kara_1:TAM(0_sakawA_hE_1):k1(addressee:attr_anim(yes):attr_gen(-):attr_num(-):attr_per(m)):k2( AsamAna_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):kr_vn( acCI+waraha_4):CLAUSE_TYPE(affirmative))	52	Apa AsamAna kA avalokana acCI waraha se kara sakawe hEM.	आप आसमान का अवलोकन अच्छी तरह से कर सकते हैं.	( अवलोकन+कर_1:TAM(0_सकता_है_1):k1(addressee:attr_anim(yes):attr_gen(-):attr_num(-):attr_per(m)):k2( आसमान_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):kr_vn( अच्छी+तरह_4):CLAUSE_TYPE(affirmative))
(le_1:TAM(0_rahA_hE_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k5(vaha:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a)):k2(kiwAba_1:attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	53	mEM usase eka kiwAba le rahA hUz.	मैं उससे एक किताब ले रहा हूँ.	(ले_1:TAM(0_रहा_है_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k5(वह:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a)):k2(किताब_1:attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(hE_1:TAM(pres):k1(brahmAMda_3:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k1s(badA_2):CLAUSE_TYPE(affirmative))	54	brahmAMda badA hE.	ब्रह्मांड बडा है.	(है_1:TAM(pres):k1(ब्रह्मांड_3:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k1s(बडा_2):CLAUSE_TYPE(affirmative))
( pUCa_3:TAM(yA_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k2g( vaha:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a)):k2( praSna_1:attr_gen():attr_num(-):attr_per(sg):card( eka_6)):CLAUSE_TYPE(affirmative))	55	mEMne usase eka praSna pUCA.	मैंने उससे एक प्रश्न पूछा.	( पूछ_3:TAM(या_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k2g( वह:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a)):k2( प्रश्न_1:attr_gen():attr_num(-):attr_per(sg):card( एक_6)):CLAUSE_TYPE(affirmative))
(kaha_1:TAM(yA_jAyegA_1):k2g(baccA_1:attr_anim(yes):attr_gen(-):attr_num(sg):attr_per(a)):k2(CAwra_1:attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(pass-affirmative))	56	bacce ko CAwra kahA jAyegA.	बच्चे को छात्र कहा जायेगा.	(कह_1:TAM(या_जायेगा_1):k2g(बच्चा_1:attr_anim(yes):attr_gen(-):attr_num(sg):attr_per(a)):k2(छात्र_1:attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(pass-affirmative))
(lA_1:TAM(o_1):rt(speaker:attr_anim(yes):attr_gen(-):attr_num(sg):attr_per(u)):k5(jaMgala_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k2(Pala_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(imperative))	57	mere liye jaMgala se Pala lAo!	मेरे लिये जंगल से फल लाओ!	(ला_1:TAM(ओ_1):rt(speaker:attr_anim(yes):attr_gen(-):attr_num(sg):attr_per(u)):k5(जंगल_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k2(फल_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(imperative))
(A_1:TAM(yA_1):k1(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):rt(John:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k5(Sahara_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))	58	rAma john ke liye Sahara se AyA.	राम जोह्न् के लिये शहर से आया.	(आ_1:TAM(या_1):k1(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):rt(झोह्न्:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k5(शहर_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))
(paDa_1:TAM(0_rahA_hE_1):k1(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k2(kiwAba_1:attr_gen(-):attr_num(pl):attr_per(a):card(xo_1)):CLAUSE_TYPE(affirmative))	59	rAma xo kiwAbeM paDa rahA hE.	राम दो किताबें पढ रहा है.	(पढ_1:TAM(0_रहा_है_1):k1(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k2(किताब_1:attr_gen(-):attr_num(pl):attr_per(a):card(दो_1)):CLAUSE_TYPE(affirmative))
(mAra_1:TAM(yA_gayA_1):k2(rAvaNa:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(pass-affirmative))	60	rAvana mArA gayA.	रावन मारा गया.	(मार_1:TAM(या_गया_1):k2(रावण:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(pass-affirmative))
(mAra_1:TAM(yA_gayA_WA_1):k2(rAvaNa:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k1(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(pass-affirmative))	61	rAvaNa rAma ke xvArA mArA gayA WA.	रावण राम के द्वारा मारा गया था.	(मार_1:TAM(या_गया_था_1):k2(रावण:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k1(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(pass-affirmative))
(jA_1:TAM(o_1):k2p(Sahara_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(imperative))	62	Sahara jAo!	शहर जाओ!	(जा_1:TAM(ओ_1):k2p(शहर_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(imperative))
(bulA_1:TAM(yA_1):k1(Sera_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):rt(yuxXa_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k7p(jaMgala_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k2(saBA_3:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))	63	Sera ne yuxXa ke liye jaMgala meM saBA bulAI.	शेर ने युद्ध के लिये जंगल में सभा बुलाई.	(बुला_1:TAM(या_1):k1(शेर_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):rt(युद्ध_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k7p(जंगल_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k2(सभा_3:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))
(bo_3:TAM(0_xiyA_1):k1(vaha:attr_anim(yes):attr_gen(m):attr_num(pl):attr_per(a)):k7p(Kewa_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k2(bIja_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))	64	unhone Kewa meM bIja bo xiye.	उन्होने खेत में बीज बो दिये.	(बो_3:TAM(0_दिया_1):k1(वह:attr_anim(yes):attr_gen(m):attr_num(pl):attr_per(a)):k7p(खेत_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k2(बीज_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))
(kaha_1:TAM(yA_jAwA_WA_1):k2g(BArawa:attr_ne(ne)):k2(AryAvarwa:attr_ne(ne)):CLAUSE_TYPE(pass-affirmative))	65	BArawa ko AryAvarwa kahA jAwA WA.	भारत को आर्यावर्त कहा जाता था.	(कह_1:TAM(या_जाता_था_1):k2g(भारत:attr_ne(ne)):k2(आर्यावर्त:attr_ne(ne)):CLAUSE_TYPE(pass-affirmative))
(sahAyawA+kara_1:TAM(gA_1):k1(vaha:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a)):k2(AxamI_1:attr_gen(m):attr_num(sg):attr_per(a):mod(aMXA_1)):CLAUSE_TYPE(affirmative))	66	vaha aMXe AxamI kI sahAyawA karegA.	वह अंधे आदमी की सहायता करेगा.	(सहायता+कर_1:TAM(गा_1):k1(वह:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a)):k2(आदमी_1:attr_gen(m):attr_num(sg):attr_per(a):mod(अंधा_1)):CLAUSE_TYPE(affirmative))
(jA_1:TAM(0_rahA_hE_1):k1(vaha:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a)):k7t(unknown):CLAUSE_TYPE(interrogative))	67	vaha kaba jA rahA hE?	वह कब जा रहा है?	(जा_1:TAM(0_रहा_है_1):k1(वह:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a)):k7t(unknown):CLAUSE_TYPE(interrogative))
(kaha_1:TAM(yA_jAwA_hE_1):k2g(pqWvI_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k2(graha_1:attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(pass-affirmative))	68	pqWvI ko graha kahA jAwA hE.	पृथ्वी को ग्रह कहा जाता है.	(कह_1:TAM(या_जाता_है_1):k2g(पृथ्वी_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):k2(ग्रह_1:attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(pass-affirmative))
(xeKa_3:TAM(0_rahA_hE_1):k1(vaha:attr_anim(yes):attr_gen(m):attr_num(pl):attr_per(a)):k2(calacciwra_1:attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	69	ve calacciwra xeKa rahe hEM.	वे चलच्चित्र देख रहे हैं.	(देख_3:TAM(0_रहा_है_1):k1(वह:attr_anim(yes):attr_gen(m):attr_num(pl):attr_per(a)):k2(चलच्चित्र_1:attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(KA_1:TAM(0_rahA_hE_1):k1(addressee:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(m)):k2(kelA_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))	70	wuma kele KA rahe ho.	तुम केले खा रहे हो.	(खा_1:TAM(0_रहा_है_1):k1(addressee:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(m)):k2(केला_1:attr_gen(-):attr_num(pl):attr_per(a)):CLAUSE_TYPE(affirmative))
(so_1:TAM(0_rahA_hE_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):CLAUSE_TYPE(affirmative))	71	mEM so rahA hUz.	मैं सो रहा हूँ.	(सो_1:TAM(0_रहा_है_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):CLAUSE_TYPE(affirmative))
(xe_1:TAM(yA_1):k1(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k4(speaker:attr_gen(-):attr_num(sg):attr_per(u)):k2(kiwAba_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))	72	rAma ne muJe kiwAba xI.	राम ने मुझे किताब दी.	(दे_1:TAM(या_1):k1(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k4(speaker:attr_gen(-):attr_num(sg):attr_per(u)):k2(किताब_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))
(hE_1:TAM(pres):k1(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k1s(acCA_1):CLAUSE_TYPE(affirmative))	73	rAma acCA hE.	राम अच्छा है.	(है_1:TAM(pres):k1(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k1s(अच्छा_1):CLAUSE_TYPE(affirmative))
(jA_1:TAM(gA_1):k1(ismA:attr_coref(yes):attr_anim(yes)):ras_k1( piwA_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):r6(ismA:attr_coref(yes))):k2p(vixyAlaya_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))	74	vaha apane piwA ke sAWa vixyAlaya jAyegI.	वह अपने पिता के साथ विद्यालय जायेगी.	(जा_1:TAM(गा_1):k1(ismA:attr_coref(yes):attr_anim(yes)):ras_k1( पिता_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):r6(ismA:attr_coref(yes))):k2p(विद्यालय_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))
(hE_1:TAM(pres):k1(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k1s(doYktara_1:attr_gen(-):attr_num(sg):attr_per(a):mod(acCA_1)):CLAUSE_TYPE(affirmative))	75	rAma acCA doktara hE.	राम अच्छा डोक्टर है.	(है_1:TAM(pres):k1(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k1s(डोक्टर_1:attr_gen(-):attr_num(sg):attr_per(a):mod(अच्छा_1)):CLAUSE_TYPE(affirmative))
(raha_1:TAM(wA_hE_1):k1(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k7p(xillI:attr_ne(place):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	76	rAma xillI meM rahawA hE.	राम दिल्ली में रहता है.	(रह_1:TAM(ता_है_1):k1(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k7p(दिल्ली:attr_ne(place):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(hE_1:TAM(pres):k1(ladakA_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k7p(xillI:attr_ne(place):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	77	ladakA xillI meM hE.	लडका दिल्ली में है.	(है_1:TAM(pres):k1(लडका_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k7p(दिल्ली:attr_ne(place):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(hE_1:TAM(pres):k1(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k7p(bagIcA_1:attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	78	rAma bagIce meM hE.	राम बगीचे में है.	(है_1:TAM(pres):k1(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k7p(बगीचा_1:attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(hE_1:TAM(pres):k1(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k7p(xillI:attr_ne(place):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	79	rAma xillI meM hE.	राम दिल्ली में है.	(है_1:TAM(pres):k1(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k7p(दिल्ली:attr_ne(place):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(hE_1:TAM(pres):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k7p(xillI:attr_ne(place):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	80	mEM xillI meM hUz.	मैं दिल्ली में हूँ.	(है_1:TAM(pres):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k7p(दिल्ली:attr_ne(place):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(hE_1:TAM(pres):k4a(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k1(buKAra_1:attr_sem-cat(abs):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	81	rAma ko buKAra hE.	राम को बुखार है.	(है_1:TAM(pres):k4a(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k1(बुखार_1:attr_sem-cat(abs):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(hE_1:TAM(pres):k4a(ladakA_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k1(buKAra_1:attr_sem-cat(abs):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	82	ladake ko buKAra hE.	लडके को बुखार है.	(है_1:TAM(pres):k4a(लडका_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes)):k1(बुखार_1:attr_sem-cat(abs):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(hE_1:TAM(pres):k4a(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k1(buKAra_1:attr_sem-cat(abs):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	83	muJe buKAra hE.	मुझे बुखार है.	(है_1:TAM(pres):k4a(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k1(बुखार_1:attr_sem-cat(abs):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(hE_2:TAM(pres):k1(kiwAba_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes):rsm(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a))):CLAUSE_TYPE(affirmative))	84	rAma ke pAsa kiwAba hE.	राम के पास किताब है.	(है_2:TAM(pres):k1(किताब_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes):rsm(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a))):CLAUSE_TYPE(affirmative))
(hE_2:TAM(pres):k1(kiwAba_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes):rsm(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u))):CLAUSE_TYPE(affirmative))	85	mere pAsa kiwAba hE.	मेरे पास किताब है.	(है_2:TAM(pres):k1(किताब_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes):rsm(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u))):CLAUSE_TYPE(affirmative))
(hE_2:TAM(pres):k1(kiwAba_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes):rsm(ladakA_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes))):CLAUSE_TYPE(affirmative))	86	ladake ke pAsa kiwAba hE.	लडके के पास किताब है.	(है_2:TAM(pres):k1(किताब_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes):rsm(लडका_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):attr_def(yes))):CLAUSE_TYPE(affirmative))
(gaNanA+kara_1:TAM(0_sakawA_1):k1(addressee:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(m):attr_respect(yes)):k2(wArA_1:attr_gen(-):attr_num(pl):attr_per(a):attr_def(yes)):neg(nahIM_1):CLAUSE_TYPE(negative))	87	Apa wAroM kI gaNanA nahIM kara sakawe.	आप तारों की गणना नहीं कर सकते.	(गणना+कर_1:TAM(0_सकता_1):k1(addressee:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(m):attr_respect(yes)):k2(तारा_1:attr_gen(-):attr_num(pl):attr_per(a):attr_def(yes)):neg(नहीं_1):CLAUSE_TYPE(negative))
(hE_2:TAM(pres):k1(kiwAba_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes):rsm(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a))):CLAUSE_TYPE(yn_interrogative))	88	kyA rAma ke pAsa kiwAba hE?	क्या राम के पास किताब है?	(है_2:TAM(pres):k1(किताब_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes):rsm(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a))):CLAUSE_TYPE(yn_interrogative))
(hE_1:TAM(pres):k1(addressee:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(m)):k7p(xillI:attr_ne(place):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(yn_interrogative))	89	kyA wuma xillI meM ho?	क्या तुम दिल्ली में हो?	(है_1:TAM(pres):k1(addressee:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(m)):k7p(दिल्ली:attr_ne(place):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(yn_interrogative))
(hE_1:TAM(pres):k4a(addressee:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(m)):k1(buKAra_1:attr_sem-cat(abs):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(yn_interrogative))	90	kyA wumhe buKAra hE?	क्या तुम्हे बुखार है?	(है_1:TAM(pres):k4a(addressee:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(m)):k1(बुखार_1:attr_sem-cat(abs):attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(yn_interrogative))
(jA_1:TAM(yA_1):k1(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):ras_k1(piwA_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):r6(rAma:attr_coref(yes))):k2p(vixyAlaya_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))	91	rAma apane piwA ke sAWa vixyAlaya gayA.	राम अपने पिता के साथ विद्यालय गया.	(जा_1:TAM(या_1):k1(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):ras_k1(पिता_1:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(a):r6(rAma:attr_coref(yes))):k2p(विद्यालय_1:attr_gen(-):attr_num(sg):attr_per(a):attr_def(yes)):CLAUSE_TYPE(affirmative))
(A_1:TAM(0_rahA_hE_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k2p(vahAz_1):CLAUSE_TYPE(affirmative))	92	mEM vahAz A rahA hUz.	मैं वहाँ आ रहा हूँ.	(आ_1:TAM(0_रहा_है_1):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k2p(वहाँ_1):CLAUSE_TYPE(affirmative))
(Kela_1:TAM(gA_1):k1(addressee:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(m)):CLAUSE_TYPE(affirmative))	93	wuma Keloge.	तुम खेलोगे.	(खेल_1:TAM(गा_1):k1(addressee:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(m)):CLAUSE_TYPE(affirmative))
(paDa_2:TAM(gA_1):k1(rAma:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))	94	rAma paDegA.	राम पढेगा.	(पढ_2:TAM(गा_1):k1(राम:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
(jA_1:TAM(0_sakawA_hE_2):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k2(Gara_1:attr_gen(-):attr_num(sg):attr_per(-)):CLAUSE_TYPE(affirmative))	95	mEM Gara jA sakawA hUz.	मैं घर जा सकता हूँ.	(जा_1:TAM(0_सकता_है_2):k1(speaker:attr_anim(yes):attr_gen(m):attr_num(sg):attr_per(u)):k2(घर_1:attr_gen(-):attr_num(sg):attr_per(-)):CLAUSE_TYPE(affirmative))
